id,featured,format_name,lang,verified,views,shares,likes
586,0,poem,en,Verified,2,1,4
587,1,thought,en,Not Verified,12,1,69
588,0,poem,en,Not Verified,1,5,1
589,1,open letter,en,Verified,33,2,25
590,0,poem,en,Not Verified,5,2,3
591,1,poem,en,Verified,5,1,107
592,0,page,en,Not Verified,1,2,1
593,1,open letter,en,Verified,3,4,67
594,0,rant,en,Not Verified,1,1,2
595,0,musing,en,Not Verified,1,3,1
596,0,poem,en,Verified,1,2,3
597,0,musing,en,Not Verified,5,1,1
598,0,page,en,Not Verified,14,2,21
599,0,musing,en,Not Verified,2,1,1
600,0,musing,en,Not Verified,1,7,4
601,0,140,en,Not Verified,5,1,22
602,0,musing,en,Not Verified,1,2,2
603,1,open letter,en,Verified,4,1,49
604,0,musing,en,Not Verified,5,1,10
605,0,short story,en,Not Verified,1,4,1
606,4,140,en,Not Verified,5,8,10
607,0,musing,en,Not Verified,1,1,4
608,1,musing,en,Not Verified,33,1,112
609,4,thought,en,Not Verified,305,2,37
610,4,140,en,Verified,32,1,31
611,1,thought,en,Verified,28,1,340
612,1,bubble,en,Verified,4,2,287
613,0,140,en,Not Verified,3,2,3
614,0,musing,en,Not Verified,2,1,2
615,1,poem,en,Verified,12,3,216
616,0,poem,en,Not Verified,1,2,2
617,0,thought,en,Verified,2,2,26
618,1,short story,en,Not Verified,3,5,83
619,0,musing,en,Not Verified,1,1,1
620,0,musing,en,Not Verified,2,1,2
621,0,musing,en,Not Verified,15,2,3
622,0,140,en,Not Verified,3,2,1
623,0,poem,en,Not Verified,1,3,3
624,0,diary,en,Not Verified,3,2,1
625,1,poem,en,Verified,4,3,56
626,0,140,en,Verified,6,2,21
627,0,140,en,Not Verified,1,4,4
628,0,poem,en,Not Verified,4,2,1
629,1,rant,en,Not Verified,3,1,98
630,0,musing,en,Not Verified,4,1,14
631,1,musing,en,Verified,3,1,59
632,4,140,en,Verified,504,1,33
633,0,140,en,Not Verified,3,1,2
634,0,open letter,en,Not Verified,2,1,2
635,0,poem,en,Not Verified,7,3,6
636,0,poem,en,Not Verified,12,2,4
637,0,140,en,Not Verified,1,2,5
638,0,musing,en,Not Verified,7,8,1
639,0,140,en,Not Verified,4,2,2
640,0,poem,en,Not Verified,2,4,1
641,0,poem,en,Verified,2,1,2
642,0,short story,en,Not Verified,3,2,11
643,0,140,en,Not Verified,3,1,1
644,0,140,en,Not Verified,6,1,3
645,0,poem,en,Not Verified,2,3,3
646,0,poem,en,Not Verified,1,2,1
647,0,short story,en,Not Verified,3,4,1
648,0,140,en,Not Verified,1,2,1
649,0,thought,en,Verified,3,2,22
650,0,140,en,Not Verified,6,1,22
651,0,musing,en,Not Verified,5,1,21
652,0,short story,en,Not Verified,3,4,3
